Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Emiliano Viviano,-,-,-,-,-,-,-,0.1
Levan Shengelia,5,3,1,0.6,0.6,0.2,0.7,1.3
Jean-Claude Billong,-,-,-,0.2,0.3,-,0.2,0.2
Marcel Tisserand,1,1,0.1,0.1,0.5,-,0.1,0.3
Jeremain Lens,3,1,0.6,0.9,0.9,0.3,0.7,1.4
Ibrahim Akdag,-,1,1.6,0.8,2.4,-,0.9,1.3
Gilbert Koomson,-,1,0.8,1.2,0.5,0.1,0.7,1.8
Gokhan Kardes,-,-,-,0.5,0.2,-,-,0.2
Cristian Sapunaru,-,-,-,0.3,0.8,-,0.3,0.3
Dimitrios Chatziisaias,-,-,-,-,2,-,-,1
Danny Drinkwater,-,-,0.7,0.6,0.9,-,0.3,1
Guray Vural,-,5,0.9,0.4,0.3,0.1,0.3,1.1
Kevin Varga,4,4,0.5,0.8,0.3,0.2,0.4,1.4
Wilfried Kanga,2,-,0.6,0.8,0.4,0.8,0.3,1.4
Ilhan Parlak,9,2,0.4,0.2,1,0.2,0.6,1.3
Adam Bareiro,5,1,0.8,0.3,1.2,0.2,0.5,1.6
Jefferson,4,2,0.3,0.4,0.8,-,0.6,0.9
Ibrahim Sehic,-,-,-,-,0.1,-,-,0.1
Berkay Özcan,-,1,0.6,0.8,0.5,-,0.4,0.6
Omer Ali Sahiner,-,1,1,0.4,0.3,0.7,0.3,0.9
Aaron Lennon,-,5,1.1,1,0.8,0.1,0.7,1.2
Yasir Subasi,-,1,0.7,0.1,0.5,-,0.1,0.9
Vegar Eggen Hedenstad,1,1,0.3,0.5,0.4,-,0.7,0.7
Adis Jahovic,1,1,0.4,0.5,0.7,0.3,0.5,1.9
David Pavelka,-,-,0.3,0.5,0.5,-,0.3,0.8
Tarkan Serbest,-,-,0.3,0.1,0.5,-,0.2,0.6
Abdullah Durak,-,2,0.3,0.5,1.1,-,0.4,0.8
Léo Duarte,-,-,0.2,0.2,0.3,-,0.3,0.2
Erik Sabo,2,-,0.6,0.4,0.9,0.1,0.2,1.2
Alexandru Epureanu,-,-,0.3,-,0.5,-,0.1,0.3
Kubilay Aktas,-,-,0.4,0.3,0.7,-,0.3,0.6
Floyd Ayité,3,1,0.5,1.2,0.9,0.2,1.3,1.1
Tarik Cetin,-,-,-,-,0.4,-,-,-
