Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Craig Bryson,Aberdeen, 34, M(C),,,1(1),91,-,1,-,-,-,79.3,1.5,-,6.48
Jonathan Obika,St. Mirren, 30, FW,,,20(12),1963,5,1,2,-,1.4,65.7,2.6,1,6.47
Lewis Neilson,Dundee United, 18, D(C),,,7(2),559,-,-,1,-,0.1,71.3,1.2,-,6.47
Guy Melamed,St. Johnstone, 28, FW,,,11(7),809,5,2,-,-,1.4,69,0.8,2,6.47
Aaron Chapman,Motherwell, 31, GK,,,4(2),448,-,-,-,-,-,46.9,0.3,-,6.47
Blair Spittal,Ross County, 25, M(R),,,4(1),280,-,-,-,-,1.2,58.3,1.2,-,6.47
Jackson Longridge,Livingston, 26, D(L),,,9(1),721,-,-,2,-,0.1,61.8,2,-,6.46
Glenn Middleton,St. Johnstone, 21, AM(L),,,3(6),340,2,-,-,-,1.6,74,0.3,1,6.46
Lewis Stevenson,Hibernian, 33, D(L),,,11(11),1135,-,1,1,-,-,77,0.5,-,6.46
Olivier Ntcham,Celtic, 25, M(C),,,7(7),590,1,1,1,-,0.8,85.4,0.2,-,6.46
Chris Cadden,Hibernian, 24, D(R),M(R),,8(2),641,-,-,-,-,0.7,71.1,0.5,-,6.46
Curtis Main,Aberdeen, 28, FW,,,8(6),708,2,-,1,-,1.1,71.4,2.2,1,6.45
Harry Robinson,Motherwell, 20, Midfielder,,,0(1),11,-,-,-,-,-,-,-,-,6.45
Cameron MacPherson,St. Mirren, 22, AM(C),,,12(15),1286,1,1,3,1,1.3,73.9,0.8,1,6.45
Scott Robinson,Livingston, 29, AM(R),FW,,16(10),1475,4,1,2,-,1.1,60.8,1.3,-,6.45
Craig Sibbald,Livingston, 26, M(CLR),,,29(3),2188,1,-,7,-,1,65.9,1.1,-,6.45
Peter Pawlett,Dundee United, 30, M(C),,,14(9),1255,1,1,7,1,0.4,74.2,0.9,1,6.44
Melker Hallberg,Hibernian, 25, M(CL),,,12(13),1092,-,2,1,-,0.4,79.7,0.8,-,6.44
George Stanger,Hamilton Academical, 20, Defender,,,1(2),173,-,-,-,-,-,55.6,2.3,-,6.44
Brian Easton,Hamilton Academical, 33, D(C),,,21,1757,-,1,3,-,0.1,53.8,2.5,-,6.44
Jack McMillan,Livingston, 23, Defender,,,4(4),430,-,-,-,-,0.1,69.7,1,-,6.44
Jamie Hamilton,Hamilton Academical, 19, D(C),,,16(6),1449,-,-,4,1,0.2,63.6,1.3,-,6.43
Callum Lang,Motherwell, 22, AM(LR),FW,,12(5),1039,3,1,-,1,1.2,65.1,0.9,-,6.43
Dillon Powers,Dundee United, 30, M(CL),,,6(8),575,-,-,2,-,0.4,74.6,1.4,-,6.42
Mitchell Pinnock,Kilmarnock, 26, AM(CL),FW,,12(13),1129,1,3,-,-,0.8,68.3,0.9,1,6.42
Cedric Itten,Rangers, 24, Forward,,,5(22),776,4,2,1,-,0.9,66.7,0.7,-,6.42
Jermaine Hylton,Ross County, 28, M(L),,,7(9),758,1,2,2,-,0.8,74.2,0.8,-,6.42
