Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Javier Mascherano,Estudiantes, 36, D(C),M(C),,7,630,-,1,3,-,0.1,80.3,1.9,-,7.15
Alexander Domínguez,Velez Sarsfield, 33, GK,,,4,360,-,-,-,-,-,82.4,-,1,7.15
Carlos Izquierdoz,Boca Juniors, 32, D(C),,,17,1452,1,-,5,2,0.6,83,3.7,1,7.15
Claudio Bravo,Banfield, 24, D(L),,,17,1522,-,1,8,-,1,69,1.6,-,7.14
Lautaro Gianetti,Velez Sarsfield, 27, D(C),,,21,1890,-,1,4,1,0.3,84.8,3.4,-,7.14
Guilherme Parede,Talleres, 25, AM(LR),,,5(1),463,3,2,1,-,2.5,75,-,-,7.14
Esteban Andrada,Boca Juniors, 30, GK,,,20,1800,-,-,2,-,-,65.4,0.4,-,7.13
Gastón Álvarez Suárez,Arsenal Sarandi, 28, M(C),,,22,1865,6,1,3,1,2,80.7,1.6,1,7.13
Carlos Zambrano,Boca Juniors, 31, D(C),,,1,68,-,-,-,-,1,86.7,4,-,7.13
Elías Gómez,Argentinos Juniors, 26, D(L),,,22,1980,1,1,4,1,0.9,69.8,2.5,3,7.12
Lucas Merolla,Huracan, 25, D(C),,,13,1154,-,-,7,1,0.5,65.4,3.9,1,7.12
Lautaro Acosta,Lanus, 33, AM(LR),FW,,17,1426,2,2,2,-,0.6,71.2,1.7,3,7.12
Fabián Rinaudo,Rosario Central, 34, D(C),DMC,,22,1980,2,2,8,-,1.2,84.4,0.9,3,7.12
Jorman Campuzano,Boca Juniors, 25, DMC,,,11(2),944,-,-,4,-,0.2,85.3,1.2,1,7.12
Leonardo Gil,Rosario Central, 30, M(C),,,16,1302,1,3,1,-,1.3,80,1.3,1,7.11
Fernando Luna,Patronato de Parana, 31, AM(C),,,4(2),416,-,2,2,-,1.3,79.4,0.7,-,7.11
Juan Manuel García,Arsenal Sarandi, 28, FW,,,17(2),1475,4,2,2,-,2.5,62.9,4.5,2,7.11
Mathías Abero,Patronato de Parana, 31, D(L),M(L),,14,1260,-,3,8,-,0.9,53.6,2.9,-,7.11
Facundo Nadalín,Newell's Old Boys, 23, D(R),,,7,556,1,1,-,-,0.3,72.2,1.9,1,7.11
Lucas Robertone,Velez Sarsfield, 24, AM(C),,,16(6),1569,2,3,3,-,1.8,72.2,1.3,3,7.11
Rafael Borré,River Plate, 25, FW,,,18(2),1373,12,1,5,-,2,71.6,1.2,3,7.10
Emanuel Reynoso,Boca Juniors, 25, AM(CL),,,9(9),894,1,3,4,-,0.7,75.2,0.6,3,7.10
Fernando Gago,Velez Sarsfield, 35, M(C),,,11(2),1035,-,-,3,-,0.4,83.2,2.2,-,7.09
Víctor Ayala,Gimnasia LP, 33, D(R),DMC,,18,1620,2,1,5,-,2.4,68.8,2.6,1,7.09
