Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Afonso Taira,Belenenses SAD, 28, DMC,,,19(12),1815,-,1,6,-,0.2,76.1,1,-,6.61
Andraz Sporar,Sporting, 27, FW,,,6(7),576,3,1,1,-,1.4,66.9,0.7,-,6.60
Patrick Willian,Famalicao, 23, D(CR),,,16(4),1492,-,-,4,-,0.6,79.8,1.5,-,6.60
Gonçalo Silva,Belenenses SAD, 29, D(CR),,,18,1567,1,-,5,-,0.3,73.6,1.2,1,6.60
Amine Oudrhiri,Farense, 28, DMC,,,31(1),2755,-,2,7,-,0.5,83.9,1,1,6.60
Júlio Romao,Santa Clara, 23, Midfielder,,,2(3),194,-,-,-,-,-,90.5,0.2,-,6.60
Walterson,Moreirense, 26, AM(LR),FW,,27(5),2411,2,2,2,-,1.4,76.9,0.1,-,6.60
Bebeto,Tondela, 31, D(R),,,18(7),1471,-,4,7,1,0.3,80.3,1,1,6.59
Claude Goncalves,Gil Vicente, 27, M(C),,,26(7),2269,2,2,4,-,0.6,81.1,0.9,-,6.59
Mateo Cassierra,Belenenses SAD, 24, FW,,,23(9),1997,10,1,-,-,1.3,76,1.3,2,6.59
João Camacho,Nacional, 26, AM(LR),,,20(8),1761,3,1,3,-,1.3,75.6,0.6,1,6.59
Cafu,Belenenses SAD, 27, D(C),DMC,,24(3),2063,1,1,7,1,0.5,76.7,2.3,1,6.59
Bruno Jordão,Famalicao, 22, M(C),,,7(2),632,1,1,2,-,0.9,75.8,0.4,-,6.59
Matheus Clemente,Famalicao, 22, Midfielder,,,0(1),27,-,-,-,-,-,73.3,-,-,6.59
Diogo Figueiras,Famalicao, 30, D(LR),M(R),,15(4),1391,-,1,5,-,0.4,79.6,0.3,-,6.58
Pedro Augusto,Tondela, 24, M(C),,,20(7),1690,1,2,9,-,0.5,81,1,-,6.58
Adil Rami,Boavista, 35, D(C),,,22,1800,-,-,4,-,0.3,83.2,1.3,-,6.58
Fali Candé,Portimonense, 23, D(L),,,15(7),1361,2,-,5,-,0.6,64.9,2.2,-,6.58
Cristián Borja,Braga, 28, D(CL),,,8(5),778,1,-,1,-,0.3,82,0.9,1,6.58
Fernando Fonseca,Pacos de Ferreira, 24, D(R),,,30(2),2713,-,1,6,-,0.1,73.4,0.4,1,6.58
Hélder Ferreira,Pacos de Ferreira, 24, AM(LR),,,25(8),2024,4,4,4,1,0.7,69.5,0.8,-,6.57
Joao Mendes,Tondela, 26, Midfielder,,,1(5),188,-,-,1,-,0.2,81,-,-,6.57
João Novais,Braga, 27, M(CLR),,,9(17),1074,2,2,2,-,0.9,80.2,0.5,-,6.57
Claudio Falcão,Farense, 26, D(C),DMC,,14(7),1323,-,1,4,-,0.9,74.2,1.6,1,6.57
Bruno Miguel Rodrigues,Braga, 0, D(C),,,8(2),732,-,-,2,-,0.4,91.4,1.5,-,6.57
Matheus Nunes,Sporting, 22, M(C),,,12(19),1259,3,2,5,-,0.5,84.5,0.5,1,6.57
André Almeida,Vitoria de Guimaraes, 21, AM(C),,,21(9),1653,2,-,2,-,0.5,84.9,0.2,1,6.57
Shoya Nakajima,Porto, 26, AM(CL),,,1(3),149,-,1,1,-,1,83.6,-,-,6.57
Antoine Leautey,Gil Vicente, 25, AM(LR),,,16(9),1405,1,1,2,-,1.1,83.6,0.1,-,6.56
Bruno Varela,Vitoria de Guimaraes, 26, GK,,,31,2790,-,-,2,-,-,59.8,0.5,1,6.56
Matheus,Braga, 28, GK,,,32,2880,-,-,1,-,-,76,0.3,1,6.56
Henrique,Belenenses SAD, 34, D(CR),,,25,2179,-,1,9,1,0.5,86.3,1.3,-,6.56
Roberto Olabe,Tondela, 25, AM(CL),,,13(4),1104,-,2,5,-,0.4,83.2,1.2,-,6.56
António Filipe,Nacional, 36, GK,,,9,810,-,-,1,-,-,35.8,-,1,6.56
Diogo Leite,Porto, 22, D(C),,,12(7),1166,1,-,3,-,0.3,90,1.4,-,6.56
Steven Vitória,Moreirense, 34, D(C),,,16(3),1389,3,-,6,1,0.5,81.7,1.8,-,6.56
