Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Grigory Morozov,-,-,-,-
Kirill Klimov,0.7,-,-,0.7
Saba Sazonov,-,-,-,-
Marko Dugandzic,0.7,0.1,0.2,0.4
Vladimir Obukhov,0.4,0.1,0.1,0.2
Aleksandr Dolgov,0.2,0.2,-,-
Erik Vardanyan,-,-,-,-
Mohammed Rabiu Al-Hassan,-,-,-,-
Mikhail Ignatov,-,-,-,-
Ylldren Ibrahimaj,-,-,-,-
Guram Adzhoev,-,-,-,-
Beka Mikeltadze,0.4,0.2,-,0.3
Khalid Kadyrov,0.2,0.2,-,-
Maksim Kutovoi,0.3,-,0.1,0.1
Artem Maksimenko,-,-,-,-
Guus Til,-,-,-,-
Akmal Bakhtiyarov,-,-,-,-
Dmitri Markitesov,0.2,-,-,0.2
Ilya Pomazun,-,-,-,-
Ivelin Popov,-,-,-,-
Rizvan Utsiev,-,-,-,-
Oston Urunov,0.1,0.1,-,-
Igor Gorbatenko,0.3,0.1,-,0.1
Zurab Gigashvili,0.1,-,0.1,-
Andrés Vombergar,1,-,-,1
Nikolay Titkov,-,-,-,-
Aleksandr Gapechkin,-,-,-,-
Denis Terentjev,-,-,-,-
Kirill Dontsov,-,-,-,-
Mikhail Ageev,-,-,-,-
Reziuan Mirzov,-,-,-,-
Parfait Bizoza,0.1,0.1,-,-
Tigran Avanesyan,-,-,-,-
Igor Shkolnik,-,-,-,-
Konstantin Kovalev,-,-,-,-
Roman Minaev,-,-,-,-
Evgeniy Tatarinov,0.3,-,0.3,-
Nikita Drozdov,0.1,0.1,-,-
Akhmed Alibekov,-,-,-,-
Aleksandr Saplinov,-,-,-,-
Stanislav Krapukhin,0.3,-,-,0.3
Lameck Banda,-,-,-,-
Aleksandr Smirnov,-,-,-,-
Kirill Kosarev,0.7,-,-,0.7
Giorgi Arabidze,0.3,0.3,-,-
Gamid Agalarov,0.2,-,-,0.2
Moris Nusuev,-,-,-,-
Anri Khagush,0.4,0.2,-,0.2
Chingiz Magomadov,-,-,-,-
David Tosevski,0.2,-,-,0.2
Mikalay Signevich,1,-,-,1
Ilya Vorobjov,0.3,-,-,0.3
Nikita Iosifov,-,-,-,-
Nikita Chagrov,-,-,-,-
Pavel Mogilevets,-,-,-,-
Evgeni Chabanov,0.3,0.3,-,-
Dmitri German,0.2,-,-,0.2
Aleksandr Yerkin,-,-,-,-
Abubakar Kadyrov,-,-,-,-
Egor Prutsev,-,-,-,-
Stepan Oganesyan,-,-,-,-
Arsen Adamov,-,-,-,-
Mikhail Lysov,1,1,-,-
Nikolay Zlobin,-,-,-,-
Dmitri Vershkov,-,-,-,-
Danil Kazantsev,-,-,-,-
Ivan Konovalov,-,-,-,-
Maksim Rudakov,-,-,-,-
