Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Finn Azaz,1,0.4,-,0.6
James McKeown,-,-,-,-
Jamie Proctor,1.6,0.4,0.3,0.9
Luke James,1.3,0.3,0.2,0.8
Kurtis Guthrie,1.4,0.2,-,1.2
Jake Hesketh,0.8,0.5,-,0.3
Scott Wagstaff,0.3,0.1,-,0.2
Romain Vincelot,0.3,0.2,-,0.2
Idris El Mizouni,1.2,0.7,-,0.5
Jordan Slew,0.9,0.2,0.1,0.6
Hayden White,0.1,-,-,0.1
George Williams,1,0.6,0.1,0.3
Harry Pritchard,1.1,0.3,0.2,0.6
Elliott Hewitt,0.4,0.1,-,0.3
Daniel Devine,0.8,0.5,-,0.4
Jack Aitchison,1.3,0.6,-,0.8
Lee Angol,1.3,0.4,0.1,0.8
Offrande Zanzala,1.6,0.2,0.3,1.1
Dylan Fage,0.4,0.2,-,0.1
Anthony Hartigan,0.8,0.6,-,0.1
Jake Young,1.2,0.4,0.1,0.7
Brice Ntambwe,0.1,0.1,-,-
Arthur Iontton,0.5,0.5,-,-
Aramide Oteh,0.8,0.3,-,0.5
Jordan Green,0.3,0.3,-,-
Tyrese Sinclair,1.8,0.9,0.2,0.7
Danny Rose,0.3,0.2,-,0.1
Nicky Maynard,1.7,0.4,0.1,1.2
James Morton,0.1,-,-,0.1
Luke Norris,1.1,0.2,0.1,0.9
Stephen Hendrie,0.4,0.4,-,0.1
Jason Taylor,0.3,0.1,-,0.2
Paul Farman,-,-,-,-
Kwame Poku,1.1,0.6,-,0.5
Dominic Bernard,0.1,-,-,0.1
Kevin van Veen,1.5,1.1,-,0.4
Elliott Bonds,0.8,0.2,-,0.6
Idris El Mizouni,1.2,0.8,-,0.3
Luke McGee,-,-,-,-
Terry Taylor,0.5,0.2,0.1,0.3
A-Jay Leitch-Smith,0.8,-,-,0.8
Reiss Greenidge,0.4,-,0.2,0.2
Bryce Hosannah,0.6,0.1,-,0.5
Jordan Barnett,0.9,0.5,-,0.4
Duncan Idehen,-,-,-,-
Ashley Nadesan,1,0.1,0.1,0.8
Kyle Taylor,0.5,0.2,-,0.2
Zak Mills,0.3,0.2,-,0.1
Jai Rowe,0.2,-,0.2,-
Jack Evans,-,-,-,-
Ryan Taylor,0.6,-,0.1,0.4
Sam Hornby,-,-,-,-
Josh Wright,0.5,0.2,-,0.3
Shilow Tracey,0.4,0.1,0.1,0.3
Alan McCormack,0.9,0.7,-,0.2
Freddie Price,0.7,0.4,0.1,0.3
Michael Folivi,0.9,0.1,0.2,0.6
Julien Lamy,0.6,0.2,-,0.3
Remeao Hutton,0.2,0.1,-,0.1
Callum Whelan,0.5,0.3,-,0.2
Mark Oxley,-,-,-,-
Ellis Chapman,0.1,0.1,-,-
Max Hunt,-,-,-,-
Filipe Morais,0.8,0.6,-,0.2
David Longe-King,0.1,-,-,0.1
John McAtee,0.7,0.3,-,0.4
Harry Kyprianou,0.2,0.2,-,-
Marcus Dinanga,2,0.8,0.5,0.7
Luke Spokes,1.2,0.9,-,0.3
George Hornshaw,0.1,-,-,0.1
Nigel Atangana,0.2,-,-,0.1
Padraig Amond,1.1,0.2,0.1,0.8
Ajibola Alese,1,1,-,-
Corey Blackett-Taylor,0.8,0.2,-,0.6
Lewis Collins,0.9,0.1,-,0.8
Jordan Maguire-Drew,1,0.6,-,0.4
Luke Gambin,0.9,0.6,-,0.3
Sam Hird,0.4,0.1,0.2,0.1
Oliver Crankshaw,0.8,0.2,-,0.6
Zachary Dearnley,1.3,0.2,0.2,0.9
Richard Taylor,0.3,0.1,0.1,0.1
Myles Hippolyte,0.6,0.2,-,0.3
Dannie Bulman,0.3,0.2,-,0.2
Caolan Lavery,1,0.2,0.1,0.7
Taylor Allen,0.6,-,-,0.6
Terrell Egbri,0.7,0.5,-,0.2
Tom Lapslie,0.2,0.2,-,0.1
Harry Brockbank,0.7,0.2,0.1,0.3
Ricky Holmes,0.9,0.3,0.1,0.6
Josh Davison,0.6,-,0.1,0.5
Andrea Badan,0.1,0.1,-,0.1
Tom Elliott,0.6,-,-,0.6
Tom White,0.6,0.6,-,-
Liam Gordon,0.6,0.1,0.2,0.3
Callum Cockerill-Mollett,0.1,-,-,0.1
Greg Halford,0.6,0.3,0.1,0.3
Stuart Sinclair,0.2,0.1,-,0.1
Brendan Kiernan,1.4,0.5,0.1,0.7
Joe Adams,0.5,-,0.2,0.3
Mark Ellis,0.5,-,0.2,0.3
Jake Caprice,0.1,0.1,-,-
Matt Stevens,1,-,0.1,0.9
Nicky Maynard,1.5,0.6,0.1,0.9
Stuart Nelson,-,-,-,-
Jon Maxted,-,-,-,-
Nicky Law,0.5,0.1,0.1,0.3
Frank Vincent,0.3,-,-,0.3
Nick Freeman,0.7,0.4,-,0.3
David Sesay,0.5,0.2,-,0.4
Will Dean,0.5,0.5,-,-
Alex Hurst,0.6,0.2,0.1,0.3
Alex Denny,0.1,-,-,0.1
Devarn Green,0.6,0.2,0.1,0.4
Kurtis Guthrie,1,0.1,-,0.9
Luke Gambin,0.3,0.1,-,0.2
Josh March,0.3,0.3,-,-
Danny Lloyd,0.9,0.3,0.1,0.5
Robbie Willmott,0.3,0.2,0.1,0.1
Jamie Devitt,1.4,0.9,0.1,0.4
Matt Green,0.8,0.2,-,0.5
Louis Dennis,0.7,0.3,0.1,0.3
Harvey Knibbs,0.8,0.2,0.1,0.6
Dion Donohue,0.3,0.3,-,-
Brad Lyons,0.5,0.1,-,0.4
Alex Bass,-,-,-,-
Alister Crawford,1,0.2,-,0.8
Jayden Richardson,0.6,0.2,-,0.4
Emile Acquah,1.1,0.2,0.1,0.8
Scott Burgess,0.7,0.4,-,0.3
Jake Taylor,0.6,0.3,-,0.3
George Boyd,0.3,0.1,-,0.2
Connor Kirby,0.6,0.4,-,0.2
Will Swan,0.8,0.1,0.1,0.6
Jake Taylor,1.1,0.7,-,0.4
Kevin Ellison,0.3,0.1,0.1,0.1
Dior Angus,1,0.2,0.2,0.7
Saikou Janneh,0.9,0.3,0.1,0.5
Tristan Abrahams,1.3,0.3,0.1,0.8
Liam McAlinden,0.7,0.3,0.1,0.4
Femi Akinwande,1.1,0.9,-,0.3
Jay Williams,0.3,-,-,0.3
Owen Windsor,-,-,-,-
Matt Rush,0.7,-,-,0.7
Taylor Charters,0.6,0.2,-,0.3
Jak Hickman,0.3,-,-,0.3
Teddy Howe,0.1,-,-,0.1
Dylan Mottley-Henry,0.5,0.3,-,0.3
Jamie Mascoll,0.3,-,-,0.3
Danny Walker-Rice,-,-,-,-
Jack Nolan,0.1,0.1,-,-
Scott Wilson,0.1,-,-,0.1
Oliver Banks,0.8,0.7,-,0.1
Alfie Bates,0.4,0.3,-,0.1
James Tilley,0.9,0.4,0.1,0.4
Nathan Ferguson,1,0.6,-,0.4
Keaton Ward,0.3,-,-,0.3
Aidan Stone,-,-,-,-
Shaun Miller,0.5,0.1,0.1,0.4
Yoan Zouma,0.5,-,-,0.5
Miquel Scarlett,-,-,-,-
Jake Scrimshaw,0.7,0.3,0.1,0.4
Dominic Telford,0.9,0.4,-,0.5
Inih Effiong,1,0.1,-,0.9
Jack Rose,-,-,-,-
Alex Fisher,0.8,0.1,0.1,0.6
Tom Sang,0.6,0.4,-,0.2
Jordan Hallam,0.5,0.1,-,0.4
David Nugent,0.7,0.1,0.1,0.5
Sid Nelson,0.1,-,-,0.1
Montel Gibson,1.4,0.3,0.2,0.9
Morgan Ferrier,0.4,-,-,0.4
Tom Pugh,-,-,-,-
Jake Scrimshaw,1.1,0.1,0.2,0.8
Nicky Ajose,0.3,-,-,0.3
Bruno Andrade,0.9,0.5,0.1,0.4
Theo Robinson,1.3,0.4,0.1,0.8
Jake Turner,-,-,-,-
Bright Amoateng,-,-,-,-
Joe Ledley,0.8,0.5,0.3,-
Paris Cowan-Hall,0.3,0.2,-,0.1
Danny Guthrie,0.1,0.1,-,-
Ruel Sotiriou,0.6,0.1,0.1,0.4
Danny Whitehead,0.6,0.3,-,0.3
Nya Kirby,0.5,0.3,-,0.2
Leon Davies,-,-,-,-
Mackenzie Chapman,-,-,-,-
Nile Ranger,-,-,-,-
Jack Roles,0.5,-,-,0.5
Jack Hindle,-,-,-,-
Stefan Payne,1.2,0.2,0.2,0.8
Mark Cullen,0.6,0.1,0.1,0.5
Jayden Reid,1,1,-,-
Josh Wright,0.4,0.2,-,0.2
Tom Walker,0.4,0.1,0.1,0.1
Zeli Ismail,-,-,-,-
Matt Stevens,0.9,0.1,0.1,0.7
Sam Ashford,0.3,0.3,-,-
Jaden Charles,-,-,-,-
Josh Dixon,-,-,-,-
Ben Seymour,0.7,0.1,0.2,0.4
Ira Jackson Jr,0.6,0.3,0.2,0.2
Reuben Reid,0.8,0.2,-,0.6
Aaron Jarvis,1,0.2,0.2,0.6
Jordan Thomas,1,1,-,-
Michael Klass,1,1,-,-
Davide Rodari,0.4,-,0.1,0.3
