Name,KeyP,AvgP,Crosses,LongB,ThrB
Nick Tsaroulla,0.7,20.1,0.2,1.2,-
Raphael Diarra,-,24.4,-,1.7,-
Mitchell Clark,0.8,33.5,0.5,0.9,-
Rory Watson,0.1,30.6,-,6.7,-
Jason Demetriou,0.9,37.4,0.6,2.6,-
Jamie Devitt,0.8,14.3,0.7,0.8,-
Sam Ling,0.4,38.9,0.1,1.9,-
Andrew Tutte,0.3,34.2,0.1,3.1,-
Richard Towell,1,25.8,0.3,1.1,-
Andy Williams,0.4,9.6,0.1,0.1,-
Joel Dixon,-,27.4,-,7.1,-
Luke Burgess,0.3,18.2,-,1,-
Scott Brown,-,27.8,-,7.8,-
Emmanuel Osadebe,0.8,20.2,0.6,0.9,-
Jon Stead,0.6,14.1,0.1,0.3,-
Elvis Bwomono,0.3,30.1,0.3,2.3,-
George Thomason,0.8,36,0.1,2.8,-
Marcel Hilßner,1.2,28,0.8,3,-
James Clarke,-,27.7,-,2.5,-
Lee O'Connor,0.3,36.2,0.2,2.2,-
Hector Kyprianou,0.4,24.7,-,1.3,-
Archie Davies,0.3,18.9,0.3,0.9,-
Tyreik Wright,1.1,23.2,1.1,1.3,-
Ousseynou Cissé,0.2,36.9,0.1,2.6,-
David Fitzpatrick,0.7,36,0.3,2.8,-
Jason Law,1,21.8,0.6,0.8,-
Chris Taylor,0.8,18.5,0.4,0.9,-
Tom Pope,0.6,13.2,0.1,0.2,-
Joe Widdowson,0.1,34.3,0.1,1.2,-
Grant Horton,1,3,-,-,-
George Lloyd,0.3,9.3,0.1,0.2,-
Tyler French,0.3,23.4,0.4,1.6,-
Gareth Evans,0.7,22,0.9,1,-
Harrison McGahey,0.3,35.6,0.1,4.3,-
Brennan Dickenson,0.6,15.2,0.6,0.7,0.1
Joshua Griffiths,0.1,28.6,-,6.4,-
Lewis Freestone,0.1,25.4,0.2,1.4,-
Dean Furman,0.6,21.8,0.3,1.6,-
James Montgomery,-,22.5,-,5.5,-
Owen Windsor,0.4,20.5,-,1.4,0.1
Mark Howard,-,35.2,-,9.1,-
James Olayinka,0.5,22.1,-,1.7,-
Sam Matthews,0.9,24.8,0.5,1.4,0.1
Brandon Thomas-Asante,0.7,14.2,0.2,0.5,-
Danny Johnson,0.3,8,-,0.2,-
Elliott Whitehouse,0.3,22.1,-,1.3,-
Finn Cousin-Dawson,-,23,0.1,1.3,-
Liam Ridehalgh,0.4,31.1,0.7,2.2,-
Tyler Frost,0.4,11.8,0.3,0.6,-
James Tilley,0.4,10.3,0.2,0.3,-
Arthur Gnahoua,0.6,9.4,0.2,0.1,-
Harrison Biggins,0.5,24.4,0.3,1.4,-
Jack Smith,0.6,23.5,0.2,1.4,-
Finn Azaz,0.8,24.6,0.1,0.9,-
James McKeown,-,28.1,-,9,-
Jamie Proctor,0.9,19.7,-,0.3,0.2
Luke James,0.7,12.6,0.2,0.3,-
Kurtis Guthrie,0.2,12.6,-,0.1,-
Jake Hesketh,0.6,22.1,-,0.9,-
Scott Wagstaff,0.7,16.9,0.5,0.4,-
Romain Vincelot,0.2,15.3,-,0.7,-
Idris El Mizouni,0.5,15.5,-,0.5,-
Jordan Slew,0.5,16.9,0.1,0.4,-
Hayden White,0.4,33.2,0.2,2,-
George Williams,0.9,16,1,0.4,-
Harry Pritchard,0.6,18.5,0.1,0.8,-
Elliott Hewitt,0.4,32.2,0.4,3.7,-
Daniel Devine,0.2,14.8,-,0.5,-
Jack Aitchison,0.9,16.1,0.4,0.7,-
Lee Angol,0.3,15,0.1,0.7,-
Offrande Zanzala,0.3,8.5,-,-,-
Dylan Fage,0.6,20.6,0.3,0.9,-
Anthony Hartigan,0.7,26.5,0.1,1.9,0.1
Jake Young,0.4,5.9,0.2,0.2,-
Brice Ntambwe,0.1,23.9,-,1.4,-
Arthur Iontton,0.5,20,-,1,-
Aramide Oteh,0.3,7.5,-,0.2,-
Jordan Green,1,18.7,-,-,-
Tyrese Sinclair,0.7,11.9,0.5,0.5,-
Danny Rose,0.7,42.8,0.3,3.3,-
Nicky Maynard,0.5,5.8,0.1,0.1,-
James Morton,0.4,30.7,0.1,1.6,-
Luke Norris,0.1,11.9,-,1.2,-
Stephen Hendrie,0.6,20.4,0.5,1.2,-
Jason Taylor,0.4,23.6,-,1,-
Paul Farman,-,25.3,-,6.3,-
Kwame Poku,0.8,20.8,0.2,1.1,0.1
Dominic Bernard,0.2,31.3,-,1.8,-
Kevin van Veen,0.7,12.6,0.9,0.9,-
Elliott Bonds,0.4,21.6,-,0.6,-
Idris El Mizouni,0.7,36.2,0.3,0.2,-
Luke McGee,-,32.3,-,7.8,-
Terry Taylor,0.6,43.3,0.2,4.8,-
A-Jay Leitch-Smith,0.2,7.2,-,0.2,-
Reiss Greenidge,0.4,29.2,0.6,1.6,-
Bryce Hosannah,0.6,23.9,0.9,1.1,-
Jordan Barnett,0.6,13.9,0.9,0.8,-
Duncan Idehen,-,28.8,-,1.5,-
Ashley Nadesan,0.9,15.2,0.2,0.3,-
Kyle Taylor,0.5,29.1,0.4,1.5,-
Zak Mills,0.5,29.5,0.3,1.5,-
Jai Rowe,0.1,19.6,0.2,1.6,-
Jack Evans,-,20,-,1,-
Ryan Taylor,0.6,14.9,-,0.3,-
Sam Hornby,0.1,33.6,-,8.6,-
Josh Wright,0.6,34.8,0.1,2.4,-
Shilow Tracey,0.4,8.1,0.1,0.1,0.1
Alan McCormack,0.5,18.4,0.3,1.4,-
Freddie Price,0.5,5.3,0.2,0.3,-
Michael Folivi,0.4,7,0.1,0.1,-
Julien Lamy,0.6,13,0.7,0.2,-
Remeao Hutton,0.5,21.1,0.5,1.7,-
Callum Whelan,0.8,38.1,0.3,3.2,-
Mark Oxley,0.1,28.7,-,7.4,-
Ellis Chapman,0.2,23,0.2,1.3,-
Max Hunt,-,12.5,-,2.5,-
Filipe Morais,1,24.3,1.1,1.4,0.1
David Longe-King,-,16.1,-,1.2,-
John McAtee,0.6,15.4,0.2,0.6,0.1
Harry Kyprianou,0.2,32.2,0.8,4,-
Marcus Dinanga,0.7,14,0.3,0.2,-
Luke Spokes,0.6,23.2,0.4,1.6,-
George Hornshaw,0.6,27.3,0.6,1.1,-
Nigel Atangana,0.1,19.7,-,0.6,-
Padraig Amond,0.6,11.2,0.1,0.2,-
Ajibola Alese,-,16,-,1,-
Corey Blackett-Taylor,0.3,7.7,0.4,0.1,-
Lewis Collins,0.5,9.5,0.2,0.3,0.1
Jordan Maguire-Drew,0.5,10.3,0.6,0.8,-
Luke Gambin,0.5,13.5,0.6,0.9,-
Sam Hird,0.3,47.3,-,6,-
Oliver Crankshaw,0.2,10.5,0.1,0.3,-
Zachary Dearnley,0.2,7.3,-,0.3,0.1
Richard Taylor,0.2,21.2,-,1.4,-
Myles Hippolyte,0.5,17.3,0.3,0.5,-
Dannie Bulman,0.2,26.8,-,1.7,-
Caolan Lavery,0.6,11.8,-,0.1,-
Taylor Allen,-,17.6,-,1,-
Terrell Egbri,0.4,15.4,0.4,0.2,-
Tom Lapslie,0.2,17.8,0.1,1.5,-
Harry Brockbank,0.3,27.5,0.1,1.7,-
Ricky Holmes,0.9,12.8,0.6,0.7,-
Josh Davison,0.2,9,-,0.1,-
Andrea Badan,0.4,24.9,0.2,2.1,-
Tom Elliott,0.4,11.4,-,0.2,-
Tom White,0.6,35.4,0.1,2.3,-
Liam Gordon,0.6,21.6,0.2,0.2,-
Callum Cockerill-Mollett,-,15.2,0.2,0.6,-
Greg Halford,0.3,13.4,-,0.8,-
Stuart Sinclair,0.2,14.1,-,0.3,-
Brendan Kiernan,0.5,12.9,0.2,0.2,-
Joe Adams,0.3,10.7,0.3,-,-
Mark Ellis,-,21.7,-,1.7,-
Jake Caprice,0.4,15.4,0.4,0.9,-
Matt Stevens,0.2,3.2,-,0.4,-
Nicky Maynard,0.3,8.8,-,0.3,0.1
Stuart Nelson,-,32,-,6,-
Jon Maxted,-,26.6,-,7.2,-
Nicky Law,0.9,20.2,0.4,0.3,-
Frank Vincent,0.5,16.3,0.8,0.8,-
Nick Freeman,0.5,25.6,0.4,1,-
David Sesay,0.2,12.5,0.2,0.5,-
Will Dean,-,39.5,-,4.5,-
Alex Hurst,0.9,12.3,0.7,0.4,-
Alex Denny,0.1,26.6,-,2.6,-
Devarn Green,0.3,11.2,0.2,0.1,-
Kurtis Guthrie,0.1,11.8,-,0.1,-
Luke Gambin,0.5,19.3,0.1,1.1,0.1
Josh March,0.5,11,0.5,0.5,-
Danny Lloyd,0.5,14.9,0.3,0.3,-
Robbie Willmott,0.6,15.2,0.6,0.7,0.1
Jamie Devitt,0.8,9.4,-,0.4,0.1
Matt Green,0.3,12.3,0.1,0.2,0.1
Louis Dennis,0.6,12.6,0.4,0.3,-
Harvey Knibbs,0.2,6.1,-,-,-
Dion Donohue,0.3,31.8,0.8,2.8,-
Brad Lyons,0.2,7.2,-,0.2,-
Alex Bass,-,10,-,2,-
Alister Crawford,0.6,15.1,0.2,1.2,-
