Name,KeyP,AvgP,Crosses,LongB,ThrB
Reda Akbib,-,2,-,-,-
Ivan Goranov,0.5,3,-,0.5,-
Antoine Colassin,0.1,4.9,-,0.1,-
Calvin Dekuyper,-,10,-,1,-
Jérémy Perbet,-,5,-,-,-
David Mukuna-Trouet,-,2.6,-,-,-
Idrissa Sylla,-,1.5,-,-,-
Sindri Guri,-,1.3,-,-,-
Antoine Colassin,-,2.9,-,0.1,-
Daam Foulon,-,4,-,-,-
Tom Van Hyfte,-,11,-,-,-
Youssuf Sylla,-,5.3,-,-,-
Aldom Deuro,-,3,-,-,-
Elias Sierra-Cappelleti,-,15,-,2,-
